condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block3_params.xlsx,1,0,z,incongruent,0,0,0,2,0,0,0,2,m,0,0.12294511000072816,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,0,0,2,0,1,1,10,z,1,0.511980900002527,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,0,0,2,0,2,2,11,m,1,0.2675882219991763,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,0,0,2,0,3,3,4,z,1,0.31283165600325447,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,0,0,2,0,4,4,8,z,1,0.350180965004256,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,0,0,2,0,5,5,9,m,1,0.30979420200310415,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,0,0,2,0,6,6,6,z,1,0.36951642500207527,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,0,0,2,0,7,7,1,m,1,0.36670105299708666,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,0,0,2,0,8,8,5,m,1,0.40031897999870125,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,0,0,2,0,9,9,3,m,1,0.3772955530002946,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,0,0,2,0,10,10,7,m,1,0.38827695500367554,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,0,0,2,0,11,11,0,z,1,0.33755011800531065,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,1,1,1,0,0,0,10,z,1,0.5237756780043128,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,1,1,1,0,1,1,6,z,1,0.5509330400018371,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,1,1,1,0,2,2,5,m,1,0.3637813949972042,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,1,1,1,0,3,3,3,m,1,0.4145817739990889,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,1,1,1,0,4,4,1,m,1,0.33378865999839036,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,1,1,1,0,5,5,9,m,1,0.35488823000196135,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,1,1,1,0,6,6,0,z,1,0.3078163289974327,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,1,1,1,0,7,7,7,m,1,0.34008372399694053,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,1,1,1,0,8,8,8,z,1,0.25932141699740896,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,1,1,1,0,9,9,11,m,1,0.2942350230005104,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,1,1,1,0,10,10,2,z,1,0.25466929099638946,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,1,1,1,0,11,11,4,z,1,0.3365816250006901,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,0,0,11,m,1,0.3068687970007886,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,1,1,8,z,1,0.40408955400198465,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,2,2,0,z,1,0.27558763999695657,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,3,3,3,m,1,0.3225128920021234,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,4,4,2,z,1,0.2886565260050702,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,5,5,1,m,1,0.304296490001434,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,6,6,9,m,1,0.4625127289982629,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,7,7,7,m,1,0.3073047240031883,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,8,8,10,z,1,0.31279805999656674,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,9,9,4,z,1,0.3274790040013613,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,10,10,6,z,1,0.35150169400003506,00F3F,A,20,F,Mar_02_1507,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,11,11,5,m,1,0.2836221999968984,00F3F,A,20,F,Mar_02_1507,Flanker Task,
