condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,0,0,1,z,0,0.09317460691090673,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,1,1,0,z,1,0.10914120194502175,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,2,2,6,z,1,0.48545587703119963,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,3,3,10,m,0,1.3170830509625375,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,4,4,11,NaN,0,NaN,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,5,5,3,m,1,0.0041029800195246935,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,6,6,5,z,0,1.0000476860441267,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,7,7,7,m,1,1.1393774369498715,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,8,8,2,z,1,0.4410936679923907,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,9,9,9,m,1,0.40411436604335904,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,10,10,8,z,1,0.4014900600304827,0485F,A,23,M,Feb_26_1419,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,11,11,4,z,1,0.4270165879279375,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,0,0,7,m,1,0.3264322360046208,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,1,1,11,m,1,0.4031686099478975,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,2,2,0,z,1,0.3430222700117156,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,3,3,5,m,1,0.5354421240044758,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,4,4,10,z,1,0.3715497039956972,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,5,5,6,z,1,0.4479767839657143,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,6,6,4,z,1,0.40255116194020957,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,7,7,2,z,1,0.47234685393050313,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,8,8,8,z,1,0.42790184798650444,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,9,9,9,m,1,0.441738435998559,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,10,10,1,m,1,0.4405520639847964,0485F,A,23,M,Feb_26_1419,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,11,11,3,m,1,0.48606637900229543,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,0,0,9,m,1,0.39723498397506773,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,1,1,4,z,1,0.35258617193903774,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,2,2,10,z,1,0.39809098304249346,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,3,3,1,m,1,0.3607925889082253,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,4,4,5,m,1,0.3977367860497907,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,5,5,2,z,1,0.394257988082245,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,6,6,8,z,1,0.4011578719364479,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,7,7,3,m,1,0.44103251001797616,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,8,8,11,m,1,0.3879997819894925,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,9,9,0,z,1,0.4915204120334238,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,10,10,6,z,1,0.4102900760481134,0485F,A,23,M,Feb_26_1419,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,11,11,7,m,1,0.35638103203382343,0485F,A,23,M,Feb_26_1419,Flanker Task,
