condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,0,0,3,m,1,1.8102632169611752,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,1,1,6,m,0,0.16866108193062246,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,2,2,1,m,1,0.6094338659895584,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,3,3,7,m,1,0.5030902239959687,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,4,4,9,m,1,0.7942616890650243,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,5,5,11,m,1,0.6463338120374829,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,6,6,5,m,1,0.7175298059592023,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,7,7,4,z,1,0.5106820620130748,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,8,8,2,z,1,0.7219530279980972,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,9,9,8,z,1,0.6266616680659354,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,10,10,0,z,1,0.641850073938258,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,11,11,10,z,1,0.6625528750009835,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,0,0,2,z,1,0.7035644600400701,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,1,1,8,z,1,0.6597917979815975,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,2,2,7,m,1,0.6365686160279438,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,3,3,5,m,1,0.7176152479369193,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,4,4,1,m,1,0.9227051060879603,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,5,5,9,m,1,1.1726160920225084,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,6,6,3,m,1,0.7125890860334039,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,7,7,4,z,1,0.638833508011885,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,8,8,10,z,1,0.7495130819734186,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,9,9,6,z,1,0.763651165063493,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,10,10,0,z,1,0.5721282379236072,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,11,11,11,m,1,0.5238304949598387,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,0,0,1,m,1,0.770887607941404,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,1,1,2,z,1,0.5720978899626061,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,2,2,6,z,1,0.5741007740143687,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,3,3,4,z,1,0.3877778738969937,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,4,4,0,z,1,0.5528860309859738,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,5,5,10,z,1,0.4644952639937401,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,6,6,5,m,1,0.6080443100072443,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,7,7,8,z,1,0.528600335936062,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,8,8,9,m,1,0.41592096199747175,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,9,9,3,m,1,0.5445932610891759,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,10,10,11,m,1,0.5156886789482087,06AA6,A,20,F,Mar_03_1231,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,11,11,7,m,1,0.5346468000207096,06AA6,A,20,F,Mar_03_1231,Flanker Task,
