condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,0,0,5,m,1,0.8694382000248879,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,1,1,7,m,1,0.13488234404940158,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,2,2,8,z,1,0.3577160600107163,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,3,3,10,m,0,0.2714515320258215,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,4,4,9,m,1,0.3137562080519274,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,5,5,0,z,1,0.43754703900776803,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,6,6,4,z,1,0.3755080410046503,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,7,7,2,z,1,0.41523566003888845,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,8,8,3,m,1,0.35499168594833463,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,9,9,1,m,1,0.36462612403556705,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,10,10,11,m,1,0.42724666197318584,107D7,A,20,F,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,11,11,6,z,1,0.40084325801581144,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,0,0,8,z,1,0.4809424120467156,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,1,1,7,m,1,0.2988282240694389,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,2,2,6,z,1,0.3980769219342619,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,3,3,1,m,1,0.26581713010091335,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,4,4,2,z,1,0.3833915520226583,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,5,5,9,m,1,0.26841609401162714,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,6,6,5,m,1,0.29350591998081654,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,7,7,3,m,1,0.46961458201985806,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,8,8,11,m,1,0.4449319540290162,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,9,9,0,z,1,0.3219318740302697,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,10,10,10,z,1,0.3605057840468362,107D7,A,20,F,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,11,11,4,z,1,0.3860507779754698,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,0,0,1,m,1,0.2859008099185303,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,1,1,6,z,1,0.41663590795360506,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,2,2,3,m,1,0.3242665809812024,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,3,3,10,z,1,0.4789113400038332,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,4,4,8,z,1,0.37654674204532057,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,5,5,5,m,1,0.294261796050705,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,6,6,9,m,1,0.42735251400154084,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,7,7,11,m,1,0.37436337408144027,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,8,8,2,z,1,0.3520605320809409,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,9,9,4,z,1,0.4659242940833792,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,10,10,7,m,1,0.26660652994178236,107D7,A,20,F,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,11,11,0,z,1,0.2838728140341118,107D7,A,20,F,Mar_03_1303,Flanker Task,
