condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,0,0,0,NaN,0,NaN,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,1,1,4,z,1,0.6869752700440586,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,2,2,10,m,0,1.590539717930369,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,3,3,3,m,1,0.06556110200472176,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,4,4,11,m,1,1.6588296999689192,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,5,5,7,m,1,0.6991870299680158,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,6,6,8,z,1,0.4425977149512619,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,7,7,5,z,0,0.14971863199025393,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,8,8,6,z,1,0.49237837502732873,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,9,9,2,m,0,0.13185575988609344,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,10,10,9,m,1,0.39437299291603267,192D1,A,25,M,Feb_27_1504,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,11,11,1,z,0,0.366105072083883,192D1,A,25,M,Feb_27_1504,Flanker Task,
