condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,0,0,0,z,1,0.04753565799910575,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,1,1,3,NaN,0,NaN,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,2,2,11,m,1,0.031160498037934303,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,3,3,10,z,1,2.0414135430473834,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,4,4,4,m,0,0.17165074998047203,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,5,5,1,z,0,0.08153134002350271,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,6,6,6,z,1,0.3553252440178767,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,7,7,9,z,0,0.024773510987870395,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,8,8,5,z,0,0.05871203390415758,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,9,9,2,z,1,0.47961946995928884,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,10,10,8,z,1,0.415192209999077,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,11,11,7,m,1,0.3230663819704205,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,0,0,10,z,1,0.3730905879056081,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,1,1,3,m,1,0.4458327339962125,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,2,2,4,z,1,0.27209257101640105,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,3,3,1,m,1,0.35645078599918634,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,4,4,6,z,1,0.34550168993882835,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,5,5,9,m,1,0.3197059719823301,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,6,6,2,z,1,0.31019221991300583,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,7,7,8,z,1,0.3177829639753327,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,8,8,11,m,1,0.30090128211304545,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,9,9,7,z,0,0.3694039039546624,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,10,10,0,z,1,0.3033758320380002,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,11,11,5,m,1,0.3117287029745057,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,2,2,2,0,0,0,10,z,1,0.34342625900171697,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,2,2,2,0,1,1,8,z,1,0.3576713399961591,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,2,2,2,0,2,2,5,m,1,0.4187108220066875,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,2,2,2,0,3,3,9,m,1,0.38909519591834396,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,2,2,2,0,4,4,4,z,1,0.33456027100328356,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,2,2,2,0,5,5,3,m,1,0.34956897201482207,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,2,2,2,0,6,6,6,z,1,0.37610835197847337,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,2,2,2,0,7,7,7,m,1,0.425056115956977,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,2,2,2,0,8,8,11,m,1,0.4037429899908602,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,2,2,2,0,9,9,2,z,1,0.4052798709599301,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,2,2,2,0,10,10,0,z,1,0.3848147800890729,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,2,2,2,0,11,11,1,m,1,0.4391007460653782,1B2CD,A,18,M,Feb_25_1508,Flanker Task,
