condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,0,0,10,m,0,1.4344627069949638,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,1,1,11,m,1,1.3132510020077461,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,2,2,7,m,1,0.49136598299082834,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,3,3,5,m,1,0.4525935470010154,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,4,4,4,z,1,0.37846780101244804,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,5,5,8,z,1,0.40793259600468446,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,6,6,1,m,1,0.36412218199984636,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,7,7,9,m,1,0.45410190599795897,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,8,8,3,m,1,0.36497432499891147,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,9,9,6,z,1,0.41173253300075885,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,10,10,0,z,1,0.42289512600109447,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,11,11,2,z,1,0.3781068759999471,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,0,0,5,m,1,0.4867795760073932,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,1,1,4,z,1,0.38106999700539745,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,2,2,3,m,1,0.3290021180000622,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,3,3,6,z,1,0.38415454800997395,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,4,4,11,m,1,0.36846781500207726,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,5,5,8,z,1,0.34587271099735517,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,6,6,1,m,1,0.5295522249944042,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,7,7,0,z,1,0.3877638179983478,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,8,8,2,z,1,0.4469134499959182,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,9,9,9,m,1,0.3095022670022445,1BCD6,A,19,F,Mar_04_1414,Flanker Task,
