condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,0,0,9,z,0,0.10879735500202514,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,1,1,7,z,0,0.2883939259991166,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,2,2,0,m,0,0.5093653149961028,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,3,3,6,m,0,0.2877811299986206,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,4,4,3,m,1,0.455340663997049,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,5,5,10,m,0,0.34034629500092706,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,6,6,4,z,1,0.3753103769995505,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,7,7,1,m,1,0.29744489699805854,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,8,8,11,m,1,0.36879540199879557,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,9,9,2,z,1,0.4341111079993425,12S91,B,18,F,Mar_02_1359,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,10,10,8,z,1,0.49628964400471887,12S91,B,18,F,Mar_02_1359,Flanker Task,
