condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,0,0,9,NaN,0,NaN,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,1,1,5,NaN,0,NaN,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,2,2,8,z,1,0.2639725670014741,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,3,3,3,m,1,0.3350307920045452,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,4,4,6,z,1,0.37470704098814167,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,5,5,11,m,1,0.39299903500068467,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,6,6,2,z,1,0.2689719750051154,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,7,7,10,z,1,0.3120582999981707,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,8,8,0,z,1,0.4086001380055677,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,9,9,4,z,1,0.37338308300240897,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,10,10,7,m,1,0.3446365019917721,1366C,B,44,F,Mar_04_1457,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,11,11,1,m,1,0.311711625996395,1366C,B,44,F,Mar_04_1457,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,0,0,4,z,1,0.36475823300133925,1366C,B,44,F,Mar_04_1457,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,1,1,11,m,1,0.3491381670028204,1366C,B,44,F,Mar_04_1457,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,2,2,9,m,1,0.32016730299801566,1366C,B,44,F,Mar_04_1457,Flanker Task,
