condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,0,0,9,m,1,1.282774370003608,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,1,1,4,z,1,0.695439378003357,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,2,2,1,m,1,0.4401193429948762,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,3,3,7,m,1,0.43369485400035046,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,4,4,8,z,1,0.32324551200144924,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,5,5,6,z,1,0.48133968000183813,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,6,6,10,z,1,0.5424033059971407,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,7,7,3,m,1,0.38779693499964196,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,8,8,5,m,1,0.5735534050036222,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,9,9,11,m,1,0.32374325599812437,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,10,10,0,z,1,0.45996112399734557,17D96,B,22,F,Mar_03_1230,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,11,11,2,z,1,0.5475981900090119,17D96,B,22,F,Mar_03_1230,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,0,0,2,z,1,0.46624278200033586,17D96,B,22,F,Mar_03_1230,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,1,1,1,m,1,0.3465620739880251,17D96,B,22,F,Mar_03_1230,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,2,2,3,m,1,0.3761744479998015,17D96,B,22,F,Mar_03_1230,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,3,3,10,z,1,0.34512912899663206,17D96,B,22,F,Mar_03_1230,Flanker Task,
