condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,0,0,2,NaN,0,NaN,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,1,1,6,NaN,0,NaN,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,2,2,10,z,1,0.3999971318989992,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,3,3,7,m,1,1.714911615010351,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,4,4,9,m,1,0.34528904303442687,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,5,5,4,z,1,0.319515728042461,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,6,6,11,m,1,0.34220337809529155,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,7,7,5,m,1,0.3892312099924311,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,8,8,8,z,1,0.32901330199092627,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,9,9,0,z,1,0.3665363780455664,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,10,10,1,m,1,0.3710008260095492,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,11,11,3,m,1,0.40742681093979627,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,0,0,11,m,1,0.3784357220865786,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,1,1,8,z,1,0.35135642997920513,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,2,2,2,z,1,0.40374423598404974,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,3,3,5,m,1,0.36657597799785435,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,4,4,10,z,1,0.35501762805506587,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,5,5,4,z,1,0.2795997920911759,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,6,6,9,m,1,0.3277754419250414,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,7,7,7,m,1,0.4297340299235657,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,8,8,3,m,1,0.4231666780542582,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,9,9,0,z,1,0.3849348840303719,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,10,10,6,z,1,0.39585150696802884,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,11,11,1,m,1,0.3189348999876529,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,2,2,2,0,0,0,10,z,1,0.3725842700805515,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,2,2,2,0,1,1,5,m,1,0.3771151649998501,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,2,2,2,0,2,2,11,m,1,0.42274783400353044,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,2,2,2,0,3,3,7,m,1,0.4168901239754632,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,2,2,2,0,4,4,1,m,1,0.42022887407802045,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,2,2,2,0,5,5,0,z,1,0.3579131899168715,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,2,2,2,0,6,6,9,m,1,0.3943521399050951,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,2,2,2,0,7,7,4,z,1,0.38125915999989957,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,2,2,2,0,8,8,8,z,1,0.32972609403077513,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,2,2,2,0,9,9,2,z,1,0.4150458660442382,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,2,2,2,0,10,10,3,m,1,0.42607500997837633,17FDC,B,21,F,Feb_24_1349,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,2,2,2,0,11,11,6,z,1,0.3557973150163889,17FDC,B,21,F,Feb_24_1349,Flanker Task,
