condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,0,0,10,m,0,1.6291929010039894,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,1,1,8,z,1,0.6642764120042557,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,2,2,9,m,1,1.3833550749986898,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,3,3,7,m,1,0.4685294080118183,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,4,4,11,m,1,0.47126813599606976,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,5,5,2,z,1,0.4774108370038448,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,6,6,1,m,1,0.3871064090053551,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,7,7,6,m,0,0.23448683699825779,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,8,8,5,m,1,0.35620316700078547,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,9,9,0,z,1,0.37248911599454004,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,10,10,4,z,1,0.40664616000140086,1A877,B,20,M,Mar_03_1303,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,11,11,3,m,1,0.32114275300409645,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,0,0,8,z,1,0.32848300400655717,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,1,1,1,m,1,0.49125717200513463,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,2,2,5,m,1,0.5728496000083396,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,3,3,2,z,1,0.3085683329991298,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,4,4,11,m,1,0.4672015499963891,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,5,5,3,m,1,0.42125653200491797,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,6,6,4,z,1,0.32466654499876313,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,7,7,10,z,1,0.49731074601004366,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,8,8,7,m,1,0.2994052720023319,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,9,9,9,m,1,0.4122026969998842,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,10,10,6,z,1,0.43535327799327206,1A877,B,20,M,Mar_03_1303,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,11,11,0,z,1,0.3906204820086714,1A877,B,20,M,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,0,0,7,m,1,0.7568087620020378,1A877,B,20,M,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,1,1,8,z,1,0.2915895469923271,1A877,B,20,M,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,2,2,2,z,1,0.39944857999216765,1A877,B,20,M,Mar_03_1303,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,3,3,4,z,1,0.39225858899590094,1A877,B,20,M,Mar_03_1303,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,4,4,6,z,1,0.39782777000800706,1A877,B,20,M,Mar_03_1303,Flanker Task,
