condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,0,0,0,NaN,0,NaN,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,1,1,7,m,1,1.2025579570326954,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,2,2,9,z,0,0.0534066220279783,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,3,3,3,m,1,1.6457810329739004,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,4,4,8,z,1,0.12374432804062963,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,5,5,11,m,1,0.7535937080392614,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,6,6,1,z,0,0.2149852979928255,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,7,7,4,z,1,0.5271547680022195,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,8,8,5,m,1,0.41672635404393077,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,9,9,10,z,1,0.47595595195889473,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,10,10,6,z,1,0.4760853280313313,01C84,C,20,F,Feb_25_1225,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,11,11,2,z,1,0.44446845003403723,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,0,0,5,m,1,0.6621659500524402,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,1,1,7,m,1,0.48648076807148755,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,2,2,9,m,1,0.6222250899299979,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,3,3,2,z,1,0.7043089349754155,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,4,4,10,z,1,0.5752339729806408,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,5,5,4,z,1,0.4753581479890272,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,6,6,3,m,1,0.4677239659940824,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,7,7,6,z,1,0.8521085620159283,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,8,8,0,z,1,0.4120452719507739,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,9,9,11,m,1,0.36813145503401756,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,10,10,1,z,0,0.2692239939933643,01C84,C,20,F,Feb_25_1225,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,11,11,8,z,1,0.5000560500193387,01C84,C,20,F,Feb_25_1225,Flanker Task,
