condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,0,0,3,m,1,0.9646201439900324,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,1,1,2,m,0,0.4003710320685059,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,2,2,5,z,0,0.673239927040413,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,3,3,7,m,1,0.04144559195265174,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,4,4,9,z,0,0.3514042879687622,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,5,5,10,m,0,0.3905281979823485,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,6,6,6,NaN,0,NaN,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,7,7,8,z,1,0.520970307989046,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,8,8,4,z,1,0.4417153000831604,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,9,9,0,z,1,0.4943855640012771,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,10,10,11,m,1,0.5423300040420145,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,11,11,1,m,1,0.39656783803366125,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,0,0,11,m,1,0.6262993690324947,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,1,1,5,m,1,0.4023566860705614,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,2,2,8,z,1,0.5173294639680535,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,3,3,7,m,1,0.49434804602060467,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,4,4,0,z,1,0.5288029439980164,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,5,5,9,m,1,0.5109896729700267,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,6,6,2,z,1,0.4035942939808592,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,7,7,6,z,1,0.39853720203973353,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,8,8,4,z,1,0.5566513920202851,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,9,9,3,m,1,0.43565875804051757,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,10,10,1,m,1,0.517158646020107,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,11,11,10,z,1,0.38245273497886956,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,0,0,5,m,1,0.6663279279600829,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,1,1,11,m,1,0.59683272393886,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,2,2,9,m,1,0.45795804006047547,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,3,3,8,z,1,0.4486700718989596,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,4,4,1,m,1,0.4302614280022681,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,5,5,4,z,1,0.4761839499697089,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,6,6,3,m,1,0.5295831880066544,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,7,7,6,z,1,0.41132788406684995,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,8,8,2,z,1,0.4140702480217442,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,9,9,7,m,1,0.5968398459954187,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,10,10,10,z,1,0.31977072497829795,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,11,11,0,z,1,0.416624711942859,0EF1B,C,24,F,Feb_24_1434,Flanker Task,
