condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block3_params.xlsx,0,1,m,incongruent,0,0,0,2,0,0,0,9,z,0,0.022721256013028324,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,0,0,2,0,1,1,6,z,1,1.0408965260721743,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,0,0,2,0,2,2,2,z,1,0.3869319319492206,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,0,0,2,0,3,3,3,z,0,0.35783441504463553,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,0,0,2,0,4,4,10,z,1,0.5547108399914578,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,0,0,2,0,5,5,4,z,1,0.015145097975619137,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,0,0,2,0,6,6,1,m,1,0.41034426202531904,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,0,0,2,0,7,7,8,z,1,0.34141380805522203,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,0,0,2,0,8,8,7,m,1,0.31514853599946946,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,0,0,2,0,9,9,0,z,1,0.4339291879441589,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,0,0,2,0,10,10,11,m,1,0.32372119405772537,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,0,0,2,0,11,11,5,m,1,0.32152721390593797,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,0,0,0,m,0,0.3113664040574804,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,1,1,8,z,1,0.3743203260237351,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,2,2,10,z,1,0.3466026659589261,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,3,3,9,m,1,0.392972667934373,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,4,4,2,m,0,0.254262275993824,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,1,1,0,0,5,5,6,z,1,0.3184738800628111,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,6,6,1,m,1,0.3802538620075211,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,7,7,7,m,1,0.2889328160090372,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,1,1,0,0,8,8,4,z,1,-0.01595459401141852,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,9,9,3,m,1,0.35494157194625586,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,1,1,0,0,10,10,11,m,1,0.2480928839650005,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,1,1,0,0,11,11,5,m,1,0.2977365960832685,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,0,0,9,m,1,0.28890782000962645,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,1,1,10,m,0,0.2479537760373205,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,2,2,4,z,1,0.33039640402421355,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,3,3,7,m,1,0.2800043460447341,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,4,4,2,z,1,0.3287789908936247,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,5,5,3,m,1,0.007039729971438646,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,6,6,11,m,1,0.38684785598888993,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,7,7,0,z,1,0.38978539407253265,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,8,8,6,z,1,0.5286932809976861,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,9,9,5,z,0,0.15849352604709566,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,10,10,1,m,1,0.378877388080582,0FC73,C,18,F,Mar_04_1414,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,11,11,8,z,1,0.4079136799555272,0FC73,C,18,F,Mar_04_1414,Flanker Task,
