Subject ID,True_block,Trial_type,Group,Accuracy,Reaction_time
0B9D1,1,incongruent,A,0,0.180338147
0B9D1,1,congruent,A,0,NaN
0B9D1,1,incongruent,A,0,NaN
0B9D1,1,incongruent,A,1,0.495680385
0B9D1,1,congruent,A,1,0.331335968
0B9D1,1,incongruent,A,1,0.642446104
0B9D1,1,incongruent,A,1,0.472183176
0B9D1,1,congruent,A,1,0.404060256
0B9D1,1,incongruent,A,1,0.514248483
0B9D1,1,congruent,A,1,0.378584667
0B9D1,1,congruent,A,1,0.383927403
0B9D1,1,congruent,A,1,0.334232075
0B9D1,2,incongruent,A,1,0.34905598
0B9D1,2,congruent,A,1,0.385577966
0B9D1,2,incongruent,A,1,0.301147102
0B9D1,2,congruent,A,1,0.474852324
0B9D1,2,incongruent,A,1,0.330449992
0B9D1,2,congruent,A,1,0.338229841
0B9D1,2,incongruent,A,1,0.478492099
0B9D1,2,congruent,A,1,0.496124538
0B9D1,2,congruent,A,1,0.350728032
0B9D1,2,incongruent,A,1,0.314078887
0B9D1,2,incongruent,A,1,0.289567214
0B9D1,2,congruent,A,1,0.389508104
0B9D1,3,congruent,A,1,0.515233652
0B9D1,3,congruent,A,1,0.312529622
0B9D1,3,incongruent,A,1,0.433316157
0B9D1,3,incongruent,A,1,0.30607802
0B9D1,3,incongruent,A,0,0.28330764
0B9D1,3,congruent,A,1,0.3540297
0B9D1,3,incongruent,A,1,0.351559323
0B9D1,3,congruent,A,1,0.313652568
0B9D1,3,congruent,A,1,0.297345816
0B9D1,3,incongruent,A,1,0.314665248
0B9D1,3,congruent,A,1,0.298294093
0B9D1,3,incongruent,A,1,0.316931942
1BCD6,1,incongruent,A,0,1.434462707
1BCD6,1,congruent,A,1,1.313251002
1BCD6,1,congruent,A,1,0.491365983
1BCD6,1,incongruent,A,1,0.452593547
1BCD6,1,congruent,A,1,0.378467801
1BCD6,1,congruent,A,1,0.407932596
1BCD6,1,incongruent,A,1,0.364122182
1BCD6,1,incongruent,A,1,0.454101906
1BCD6,1,congruent,A,1,0.364974325
1BCD6,1,incongruent,A,1,0.411732533
1BCD6,1,congruent,A,1,0.422895126
1BCD6,1,incongruent,A,1,0.378106876
1BCD6,2,incongruent,A,1,0.486779576
1BCD6,2,congruent,A,1,0.381069997
1BCD6,2,congruent,A,1,0.329002118
1BCD6,2,incongruent,A,1,0.384154548
1BCD6,2,congruent,A,1,0.368467815
1BCD6,2,congruent,A,1,0.345872711
1BCD6,2,incongruent,A,1,0.529552225
1BCD6,2,congruent,A,1,0.387763818
1BCD6,2,incongruent,A,1,0.44691345
1BCD6,2,incongruent,A,1,0.309502267
1BCD6,2,congruent,A,1,0.366299788
1BCD6,2,incongruent,A,1,0.438758816
1BCD6,3,congruent,A,1,0.294755517
1BCD6,3,incongruent,A,1,0.376494392
1BCD6,3,incongruent,A,1,0.361844203
1BCD6,3,incongruent,A,1,0.374989359
1BCD6,3,incongruent,A,1,0.39649566
1BCD6,3,congruent,A,1,0.374993687
1BCD6,3,congruent,A,1,0.33997372
1BCD6,3,congruent,A,1,0.43919355
1BCD6,3,congruent,A,1,0.306343442
1BCD6,3,incongruent,A,1,0.32894881
1BCD6,3,incongruent,A,1,0.330851472
1BCD6,3,congruent,A,1,0.323888092
1B2CD,1,congruent,A,1,0.047535658
1B2CD,1,congruent,A,0,NaN
1B2CD,1,congruent,A,1,0.031160498
1B2CD,1,incongruent,A,1,2.041413543
1B2CD,1,congruent,A,0,0.17165075
1B2CD,1,incongruent,A,0,0.08153134
1B2CD,1,incongruent,A,1,0.355325244
1B2CD,1,incongruent,A,0,0.024773511
1B2CD,1,incongruent,A,0,0.058712034
1B2CD,1,incongruent,A,1,0.47961947
1B2CD,1,congruent,A,1,0.41519221
1B2CD,1,congruent,A,1,0.323066382
1B2CD,2,incongruent,A,1,0.373090588
1B2CD,2,congruent,A,1,0.445832734
1B2CD,2,congruent,A,1,0.272092571
1B2CD,2,incongruent,A,1,0.356450786
1B2CD,2,incongruent,A,1,0.34550169
1B2CD,2,incongruent,A,1,0.319705972
1B2CD,2,incongruent,A,1,0.31019222
1B2CD,2,congruent,A,1,0.317782964
1B2CD,2,congruent,A,1,0.300901282
1B2CD,2,congruent,A,0,0.369403904
1B2CD,2,congruent,A,1,0.303375832
1B2CD,2,incongruent,A,1,0.311728703
1B2CD,3,incongruent,A,1,0.343426259
1B2CD,3,congruent,A,1,0.35767134
1B2CD,3,incongruent,A,1,0.418710822
1B2CD,3,incongruent,A,1,0.389095196
1B2CD,3,congruent,A,1,0.334560271
1B2CD,3,congruent,A,1,0.349568972
1B2CD,3,incongruent,A,1,0.376108352
1B2CD,3,congruent,A,1,0.425056116
1B2CD,3,congruent,A,1,0.40374299
1B2CD,3,incongruent,A,1,0.405279871
1B2CD,3,congruent,A,1,0.38481478
1B2CD,3,incongruent,A,1,0.439100746
0485F,1,incongruent,A,0,0.093174607
0485F,1,congruent,A,1,0.109141202
0485F,1,incongruent,A,1,0.485455877
0485F,1,incongruent,A,0,1.317083051
0485F,1,congruent,A,0,NaN
0485F,1,congruent,A,1,0.00410298
0485F,1,incongruent,A,0,1.000047686
0485F,1,congruent,A,1,1.139377437
0485F,1,incongruent,A,1,0.441093668
0485F,1,incongruent,A,1,0.404114366
0485F,1,congruent,A,1,0.40149006
0485F,1,congruent,A,1,0.427016588
0485F,2,congruent,A,1,0.326432236
0485F,2,congruent,A,1,0.40316861
0485F,2,congruent,A,1,0.34302227
0485F,2,incongruent,A,1,0.535442124
0485F,2,incongruent,A,1,0.371549704
0485F,2,incongruent,A,1,0.447976784
0485F,2,congruent,A,1,0.402551162
0485F,2,incongruent,A,1,0.472346854
0485F,2,congruent,A,1,0.427901848
0485F,2,incongruent,A,1,0.441738436
0485F,2,incongruent,A,1,0.440552064
0485F,2,congruent,A,1,0.486066379
0485F,3,incongruent,A,1,0.397234984
0485F,3,congruent,A,1,0.352586172
0485F,3,incongruent,A,1,0.398090983
0485F,3,incongruent,A,1,0.360792589
0485F,3,incongruent,A,1,0.397736786
0485F,3,incongruent,A,1,0.394257988
0485F,3,congruent,A,1,0.401157872
0485F,3,congruent,A,1,0.44103251
0485F,3,congruent,A,1,0.387999782
0485F,3,congruent,A,1,0.491520412
