condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,0,0,6,z,1,0.5612354930199217,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,1,1,2,z,1,0.4790840460045729,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,2,2,5,m,1,0.4481968439940829,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,3,3,11,m,1,0.49908054000115953,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,4,4,7,m,1,0.47525958000915125,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,5,5,9,m,1,0.45181547198444605,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,6,6,8,z,1,0.4456355159927625,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,7,7,1,m,1,0.45633811299921945,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,8,8,0,z,1,0.4257266799977515,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,9,9,4,z,1,0.42067317801411264,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,10,10,10,z,1,0.4633012980048079,1,A,,,Feb_11_1011,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,11,11,3,m,1,0.4249719399958849,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,0,0,2,z,1,0.5156809549953323,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,1,1,6,z,1,0.45159491401864216,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,2,2,5,m,1,0.4293136950000189,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,3,3,1,m,1,0.4000352259899955,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,4,4,4,z,1,0.43620431498857215,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,5,5,0,z,1,0.48701630800496787,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,6,6,3,m,1,0.5752492690226063,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,7,7,10,z,1,0.5091519890120253,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,8,8,11,m,1,0.533575818000827,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,9,9,7,m,1,0.396222426003078,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,10,10,8,z,1,0.43218972798786126,1,A,,,Feb_11_1011,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,11,11,9,m,1,0.45084572199266404,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,0,0,2,z,1,0.43649212500895374,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,1,1,6,z,1,0.44726650198572315,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,2,2,3,m,1,0.46622240997385234,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,3,3,1,m,1,0.6116433260031044,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,4,4,8,z,1,0.47956479201093316,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,5,5,10,z,1,0.4974067830189597,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,6,6,7,m,1,0.42513791998499073,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,7,7,0,z,1,0.4518750520073809,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,8,8,5,m,1,0.49362234701402485,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,9,9,11,m,1,0.4693726639961824,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,10,10,4,z,1,0.40728247398510575,1,A,,,Feb_11_1011,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,11,11,9,m,1,0.48386353999376297,1,A,,,Feb_11_1011,Flanker Task,
