condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,0,0,4,z,1,0.28220187200349756,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,1,1,7,m,1,1.5386937120056245,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,2,2,10,m,0,0.31801992599503137,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,3,3,1,z,0,0.8922240259998944,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,4,4,11,m,1,0.24297784600639716,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,5,5,8,z,1,0.14167808199999854,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,6,6,9,z,0,0.25109919600072317,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,0,0,0,0,7,7,3,m,1,0.6253611719876062,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,8,8,6,z,1,1.031776563002495,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,0,0,0,0,9,9,5,m,1,0.4576859700027853,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,0,0,0,0,10,10,2,z,1,0.5038274990220089,2,B,,,Feb_11_1151,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,0,0,0,0,11,11,0,z,1,0.5244108969927765,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,0,0,5,m,1,0.42153471100027673,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,1,1,8,z,1,0.5156857160036452,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,2,2,7,m,1,0.403781978006009,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,3,3,1,m,1,0.6626823240076192,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,4,4,6,z,1,0.3828510199964512,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,5,5,0,z,1,0.4351822620083112,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,6,6,2,z,1,0.492945587990107,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,7,7,3,m,1,0.33191442998941056,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,8,8,10,z,1,0.31353777399635874,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,9,9,9,m,1,0.38294468200183474,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,10,10,11,m,1,0.5140592620009556,2,B,,,Feb_11_1151,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,11,11,4,z,1,0.3526967810175847,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,0,0,6,z,1,0.42910540601587854,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,1,1,4,z,1,0.43088319001253694,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,2,2,10,z,1,0.36140409600920975,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,3,3,9,m,1,0.3260133459989447,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,4,4,1,m,1,0.46220654499484226,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,5,5,11,m,1,0.5993773259979207,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,6,6,3,m,1,0.38706902001285926,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,2,2,1,0,7,7,7,m,1,0.3742771430115681,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,2,2,1,0,8,8,5,z,0,0.24306610599160194,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,9,9,8,z,1,0.5932322139851749,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,2,2,1,0,10,10,2,z,1,0.4820617169898469,2,B,,,Feb_11_1151,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,2,2,1,0,11,11,0,z,1,0.4361074659973383,2,B,,,Feb_11_1151,Flanker Task,
