"condsFile","flankerDirc","targetDirc","corrAns","displays","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","kb.keys","kb.corr","kb.rt","Subject ID","group","age","gender","date","expName","W"
"block2_params.xlsx",1,1,"m","congruent",0,0,0,1,0,0,0,7,"m",1,0.037862174009205773,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",0,0,"z","congruent",0,0,0,1,0,1,1,4,"z",1,1.4718556690204423,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",1,1,"m","congruent",0,0,0,1,0,2,2,11,"m",1,0.023669892019825056,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",1,1,"m","congruent",0,0,0,1,0,3,3,3,"m",1,0.08982288499828428,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",1,0,"z","incongruent",0,0,0,1,0,4,4,6,"m",0,0.008781937998719513,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",0,0,"z","congruent",0,0,0,1,0,5,5,8,"z",1,0.25981915899319574,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",0,0,"z","congruent",0,0,0,1,0,6,6,0,"z",1,0.08410310599720106,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",0,1,"m","incongruent",0,0,0,1,0,7,7,9,"z",0,0.027327604009769857,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",0,1,"m","incongruent",0,0,0,1,0,8,8,1,"z",0,0.00522668898338452,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",1,0,"z","incongruent",0,0,0,1,0,9,9,10,"m",0,0.10509601200465113,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",0,1,"m","incongruent",0,0,0,1,0,10,10,5,"z",0,0.11210706600104459,3,"C",,"M","Feb_12_2003","Flanker Task",
"block2_params.xlsx",1,0,"z","incongruent",0,0,0,1,0,11,11,2,"m",0,0.04748814000049606,3,"C",,"M","Feb_12_2003","Flanker Task",
"block1_params.xlsx",0,1,"m","incongruent",0,1,1,0,0,0,0,1,,0,,3,"C",,"M","Feb_12_1959","Flanker Task",
"block1_params.xlsx",1,0,"z","incongruent",0,1,1,0,0,1,1,2,"m",0,1.0735787930025253,3,"C",,"M","Feb_12_1959","Flanker Task",
"block1_params.xlsx",0,1,"m","incongruent",0,1,1,0,0,2,2,9,"z",0,1.0402773760142736,3,"C",,"M","Feb_12_1959","Flanker Task",
"block1_params.xlsx",1,1,"m","congruent",0,1,1,0,0,3,3,3,"m",1,0.41050526799517684,3,"C",,"M","Feb_12_1959","Flanker Task",
"block1_params.xlsx",1,1,"m","congruent",0,1,1,0,0,4,4,11,"m",1,0.08540285797789693,3,"C",,"M","Feb_12_1959","Flanker Task",
"block1_params.xlsx",0,0,"z","congruent",0,1,1,0,0,5,5,4,"z",1,0.654445627995301,3,"C",,"M","Feb_12_1959","Flanker Task",
