condsFile,flankerDirc,targetDirc,corrAns,displays,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kb.keys,kb.corr,kb.rt,Subject ID,group,age,gender,date,expName,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,0,0,7,m,1,0.1699405860126717,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,1,1,3,m,1,0.5442922450019978,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,2,2,1,z,0,0.4443352600064827,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,3,3,0,z,1,0.5279262669937452,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,4,4,6,z,1,0.3603609609999694,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,1,1,m,congruent,0,0,0,1,0,5,5,11,m,1,0.422707038000226,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,6,6,9,z,0,0.10009372200875077,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,7,7,8,z,1,-0.0015725789999123663,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,0,1,m,incongruent,0,0,0,1,0,8,8,5,m,1,0.3579268769972259,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,9,9,10,z,1,0.3351335299958009,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,0,0,z,congruent,0,0,0,1,0,10,10,4,z,1,0.37071608001133427,6,C,26,M,Feb_13_1805,Flanker Task,
block2_params.xlsx,1,0,z,incongruent,0,0,0,1,0,11,11,2,z,1,0.35881048199371435,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,0,0,2,z,1,0.37387288799800444,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,1,1,11,m,1,0.39951024200126994,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,2,2,8,z,1,0.4490394700114848,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,3,3,10,z,1,0.39168404799420387,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,4,4,3,m,1,0.39987695700256154,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,5,5,0,z,1,0.3715062650007894,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,0,0,z,congruent,0,1,1,2,0,6,6,4,z,1,0.4245711109979311,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,1,1,m,congruent,0,1,1,2,0,7,7,7,m,1,0.4703368509944994,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,8,8,1,m,1,0.39184990800276864,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,1,0,z,incongruent,0,1,1,2,0,9,9,6,z,1,0.36346963699907064,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,10,10,5,m,1,0.45521991499117576,6,C,26,M,Feb_13_1805,Flanker Task,
block3_params.xlsx,0,1,m,incongruent,0,1,1,2,0,11,11,9,m,1,0.48649229199509136,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,0,0,9,m,1,0.40928225000970997,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,1,1,3,m,1,0.4132359829964116,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,2,2,1,m,1,0.5471298720076447,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,0,1,m,incongruent,0,2,2,0,0,3,3,5,m,1,0.388771944999462,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,4,4,6,z,1,0.37058073400112335,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,5,5,7,m,1,0.3496217640058603,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,6,6,0,z,1,0.4603078740037745,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,7,7,8,z,1,0.40703034501348156,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,8,8,10,z,1,0.36952806399494875,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,1,0,z,incongruent,0,2,2,0,0,9,9,2,z,1,0.4065727769921068,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,0,0,z,congruent,0,2,2,0,0,10,10,4,z,1,0.5123931739944965,6,C,26,M,Feb_13_1805,Flanker Task,
block1_params.xlsx,1,1,m,congruent,0,2,2,0,0,11,11,11,m,1,0.363160050008446,6,C,26,M,Feb_13_1805,Flanker Task,
